id,資料集名稱,服務分類,檔案格式,下載連結,資料類型,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,授權說明網址,計費方式,編碼格式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,發布時間,修訂時間,備註
38828,部落觀光部落小旅行,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201611/部落觀光部落小旅行.csv,rawData,部落觀光部落小旅行,區域遊程名稱遊程路線,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/11/08 14:50:06,2016/11/28 11:32:31,
38876,溫泉業務,休閒旅遊,CSV;DOC,http://admin.taiwan.net.tw/upload/contentFile/201611/溫泉業務－交通部觀光局認可溫泉檢驗機關構團體名單.csv;http://admin.taiwan.net.tw/upload/contentFile/201611/溫泉業務－取得標章之業者資訊（每季更新）.csv;http://admin.taiwan.net.tw/upload/contentFile/201611/交通部觀光局認可溫泉檢驗機關(構)、團體執行溫泉檢驗業務須知.doc;http://admin.taiwan.net.tw/upload/contentFile/201611/交通部觀光局讓可溫泉機關構團體審查作業程序.doc;http://admin.taiwan.net.tw/upload/contentFile/201611/溫泉取供事業申請經營許可辦法.docx;http://admin.taiwan.net.tw/upload/contentFile/201611/溫泉取供事業申請經營許可辦法－附表－溫泉取供事業經營許可申請書.doc;http://admin.taiwan.net.tw/upload/contentFile/201611/溫泉區管理計畫審核及管理辦法.docx;http://admin.taiwan.net.tw/upload/contentFile/201611/溫泉標章申請使用辦法.docx,rawData,交通部觀光局認可溫泉檢驗機關構團體名單及取得標章之業者資訊,核發日期-有效期限溫泉業者營業處所泉質類別核發機關溫泉檢驗機構聯絡地址連絡電話認可檢驗項目,交通部觀光局,每季,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,BIG-5;BIG-5;Unicode;Unicode;Unicode;Unicode;Unicode;Unicode,蘇先生,02-23491500#8130,2016/11/08 16:27:32,2016/12/12 16:17:50,
15432,103年來台旅客啟程來台國家統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/年表10_new(103年來台旅客啟程來台國家統計).CSV.csv,tools,內容為103年來台旅客啟程來台國家統計,居住地Residence、合計,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500轉8130,2015/05/26 10:46:01,2016/10/19 10:56:31,
18910,交通部觀光發展基金附屬單位決算103年度,公共資訊,XML,http://data.gov.tw,rawData,觀光發展基金決算,如附表,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,黃小姐,02-23491500#8913,2015/08/10 16:02:19,2016/05/24 00:28:28,
41673,旅服服務中心資訊,休閒旅遊,CSV,http://gis.taiwan.net.tw/XMLReleaseALL_public/2016_TouristServiceCenter.csv,rawData,臺灣旅遊服務中心資訊,編號、受評單位、旅客（旅遊）服務中心名稱、住址、座標(緯度)、座標(經度),交通部觀光局,每季,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/12/26 11:24:51,2016/12/26 19:18:44,
31477,大鵬灣遊憩區遊客人數,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/104年_遊客.解說.簡報廳人數統計.CSV.csv,rawData,提供大鵬灣國家風景區遊客人數、提供服務之人次,年度、月份、人數統計,交通部觀光局,每季,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/05/16 14:52:49,2016/05/23 23:04:57,
38122,104年來台旅客性別統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201610/年表07(104年來台旅客性別統計).csv,rawData,104年來台旅客性別統計,"居住地Residence""合計Total"男Male女Female,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/10/31 10:34:30,2016/10/31 10:48:05,
7324,101年來台旅客來台目的統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/來台旅客目的.csv,rawData,資料內容提供101年來台旅客來台目的人數統計,"居住地Residence""合計Total""業務Business""觀光Pleasure""探親VisitRelatives""會議Conference""求學Study""展覽Exhibition""醫療MedicalTreatment""其他Others",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;,蘇先生,02-23491500#8123,2014/01/01 01:28:40,2016/10/14 15:48:09,
7326,歷年國人出國按性別,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/國人出國性別.csv,rawData,資料內容提供73年至101年中華民國國民出國性別人數統計,年度Year、男Male、女Female、隨行人員Follows、合計Total,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;,蘇先生,02-23491500#8123,2014/01/01 01:28:40,2016/10/14 16:08:54,
7328,歷年來台旅客按性別分析,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/歷表08(歷年來台旅客按性別統計).csv,rawData,資料內容提供54年至104年來台旅客按性別人數統計,"年度Year""合計Total"男Male女Female"人次No.ofVisitors""佔合計百分比%ofTotal",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8123,2014/01/01 01:28:40,2016/10/14 16:12:42,
7329,歷年旅遊業導遊人員按性別分析,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/導遊性別.csv,rawData,資料內容提供69年至101年旅遊業導遊人員按性別人數統計,年別Year、男Male、女Female、合計Total,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;,蘇先生,02-23491500#8123,2014/01/01 01:28:40,2016/10/14 16:16:10,
15450,103年來台旅客離台後前往國家統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/年表11_new(103年來台旅客離台後前往國家統計).CSV.csv,rawData,內容主要為103年來台旅客離台後前往國家統計,居住地Residence、合計,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500轉8130,2015/05/26 16:14:12,2016/10/19 11:05:45,
15452,103年來台旅客職業與來台目的交叉分析,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/年表13_new(103年來台旅客職業與來台目的交叉分析).CSV.csv,tools,內容主要為103年來台旅客職業與來台目的交叉分析,來台旅客職業與來台目的交叉分析,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500轉8130,2015/05/26 16:17:34,2016/05/24 00:23:17,
15453,98年至103年來台旅客居住地統計,休閒旅遊,XLSX,http://admin.taiwan.net.tw/upload/contentFile/201606/年表14(98年至103年來台旅客居住地統計).CSV.csv,tools,內容主要為98年至103年來台旅客居住地統計,98年至103年來台旅客居住地統計,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500轉8130,2015/05/26 16:18:54,2015/12/29 10:36:49,
19732,104年度觀光發展基金附屬單位分預算,公共資訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201508/budget_fund_xml_104.zip,rawData,提供104年度觀光發展基金附屬單位分預算書表,收支預計表、餘絀撥補預計表、現金流量預計表,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,黃小姐,02-23491500#8923,2015/08/12 16:36:22,2016/05/24 09:39:03,
21736,105年度觀光發展基金附屬單位分預算案,公共資訊,XML,http://admin.taiwan.net.tw/upload/contentFile/201509/budget_fund_xml_105.zip,rawData,提供105年度觀光發展基金附屬單位分預算書表,收支預計表、餘絀撥補預計表、現金流量預計表,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,黃小姐,02-23491500#8923,2015/09/14 11:29:08,2016/05/24 09:44:48,
24417,觀光拔尖領航方案執行情形表,公共資訊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/pvet_103(1).CSV.csv,rawData,觀光拔尖領航方案98年度至103年度執行情形,項目、98年度、99年度、100年度、101年度、102年度、103年度、98-103年度,交通部觀光局,無,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,曾先生,02-23491500#8911,2015/11/05 13:53:23,2016/10/19 11:40:41,
31476,大鵬灣觀光產業聯盟會員名冊資料,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/屏東縣大鵬灣觀光產業聯盟名冊分產業_20150813.CSV.csv,rawData,提供大鵬灣觀光產業聯盟會員相關資訊,項目、團體名稱、通訊地址、備註,交通部觀光局,每季,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/05/16 14:44:39,2016/10/19 11:30:00,
33732,觀光發展基金104年度決算,公共資訊,XML,http://admin.taiwan.net.tw/public/public.aspx?no=93,rawData,觀光發展基金104年度決算,收支餘絀決算表餘絀撥補決算表現金流量決算表平衡表,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,黃小姐,02-23491500#8913,2016/08/16 14:22:01,2016/08/16 14:43:29,
37385,106年度觀光發展基金附屬單位分預算書表,公共資訊,KML,http://admin.taiwan.net.tw/upload/contentFile/201610/budget_fund_xml_106.zip,rawData,提供106年度觀光發展基金附屬單位分預算書表,收支預計表、餘絀撥補預計表、現金流量預計表,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,陳小姐,02-23491500#8922,2016/10/12 15:37:04,2016/10/12 17:51:30,
38115,104年來台旅客來台目的統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201610/年表03_new(104年來台旅客來台目的統計).csv,rawData,104年來台旅客來台目的統計,"居住地Residence""合計Total""業務Business""觀光Pleasure""探親VisitRelatives""會議Conference""求學Study""展覽Exhibition""醫療MedicalTreatment""其他Others",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,先生,02-23491500#8130,2016/10/31 09:31:06,2016/10/31 10:49:04,
38119,104年來台旅客搭乘交通工具及入境港口統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201610/年表08(104年來台旅客搭乘交通工具及入境港口統計).csv,rawData,104年來台旅客搭乘交通工具及入境港口統計,"居住地Residence""合計Total"飛機Air輪船Sea,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/10/31 10:15:00,2016/10/31 10:47:41,
38257,公民營遊樂園,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201611/樂園基本資料(來自全臺主題樂園網).csv,rawData,公民營遊樂園之資料,名稱、地址、電話、傳真、官網粉絲團名稱、粉絲團網址、交通指南連結、多元服務、樂園認證、相關認證、簡介、TOP1,交通部觀光局,每季,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/11/01 10:27:37,2016/11/01 10:37:43,
38830,無障礙旅遊行程,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201611/無障礙旅遊行程.csv,rawData,無障礙旅遊行程,國家風景區旅遊路線名稱行程介紹路線內容無障礙設施據點無障礙設備借用無障礙廁所無障礙停車格,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/11/08 15:00:49,2016/11/28 11:36:33,
38865,穆斯林友善環境建設成果,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201611/穆斯林友善環境建設成果.csv,rawData,穆斯林友善環境建設成果,管理處遊客中心聯絡地址連絡電話"淨下設施(免治馬桶)""淨下設施(洗滌器)"祈禱室麥加指標,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,BIG-5,蘇小姐,02-23491500#8130,2016/11/08 15:17:48,2016/11/28 11:37:56,
38867,104年度補助離島遊客租賃電動機車經費控管表,休閒旅遊,CSV;DOCX,http://admin.taiwan.net.tw/upload/contentFile/201611/104年度補助離島遊客租賃電動機車經費控管表.csv;http://admin.taiwan.net.tw//upload/contentFile/201611/交通部觀光局補助離島遊客租賃電動機車實施要點（含申請表）.docx,rawData,104年度補助離島遊客租賃電動機車經費控管表,原核定補助額度(元）追減後補助額度已核撥數備註,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,BIG-5;UTF-8,蘇先生,02-23491500#8130,2016/11/08 15:27:36,2016/11/28 11:38:26,
38872,水域遊憩活動管理辦法,休閒旅遊,DOCX,http://admin.taiwan.net.tw/upload/contentFile/201611/水域遊憩活動管理辦法.docx;http://admin.taiwan.net.tw/upload/contentFile/201611/日月潭國家風景區管理處公告－從事橡皮艇、拖曳浮胎及水上腳踏車等3類水域遊憩活動種類適用水域遊憩活動管理辦法.docx;http://admin.taiwan.net.tw/upload/contentFile/201611/東北角海岸國家風景區公告-鼻頭角至三貂角水域遊憩活動分區限制公告.doc;http://admin.taiwan.net.tw/upload/contentFile/201611/東部海岸國家風景區管理處公告－從事橡皮艇、拖曳浮胎及水上腳踏車等3類水域遊憩活動適用水域遊憩活動管理辦法.docx;http://admin.taiwan.net.tw/upload/contentFile/201611/花東縱谷國家風景區管理處公告－從事橡皮艇、拖曳浮胎及水上腳踏車等3類水域遊憩活動適用水域遊憩活動管理辦法.docx;http://admin.taiwan.net.tw/upload/contentFile/201611/雲嘉南濱海國家風景區管理處公告－從事橡皮艇、拖曳浮胎及水上,rawData,水域遊憩活動種類適用水域遊憩活動管理辦法,發文日期，主旨，依據，公告事項,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,Unicode;Unicode;Unicode;Unicode;Unicode;Unicode;Unicode;Unicode,蘇先生,02-23491500#8130,2016/11/08 15:57:25,2016/11/28 11:36:17,
41629,臺灣穆斯林友善餐旅,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201612/臺灣穆斯林友善餐旅.csv,rawData,臺灣穆斯林友善餐旅,編號名稱電話地址坐標px坐標py穆斯林友善餐旅穆斯林友善餐廳穆斯林餐廳清真廚房,交通部觀光局,每季,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/12/23 11:57:27,2016/12/24 14:40:33,
41639,印度餐廳列表,休閒旅遊,XLSX,http://admin.taiwan.net.tw/upload/contentFile/201612/13印度餐廳(002)_20161223更新.xlsx,rawData,休閒旅遊:係指各種國內外旅遊、娛樂、運動、文化等相關資料集,"餐廳名稱NameofRestaurant""地區City/County""地址Address"座標coordinate"電話TelephoneNo."營業時間,交通部觀光局,每季,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/12/23 15:50:48,2016/12/24 14:40:26,
7777,景點-觀光資訊資料庫,休閒旅遊,JSON;XML,http://gis.taiwan.net.tw/XMLReleaseALL_public/scenic_spot_C_f.json;http://gis.taiwan.net.tw/XMLReleaseALL_public/scenic_spot_C_f.xml,rawData,交通部觀光局蒐集各政府機關所發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食及旅館民宿等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,listname、language、orgname、updatetime、Id、Name、Zone、Toldescribe、Description、Tel、Add、Zipcode、Travellinginfo、Opentime、Picture1、Picdescribe1、Picture2、Picdescribe2、Picture3、Picdescribe3、Map、Gov、Px、Py、Orgclass、Class1、Class2、Class3、Level、Website、Parkinginfo、Parkinginfo_Px、Parkinginfo_Py、Ticketinfo、Remarks、Keyword、RegionId,交通部觀光局,每日,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;;UTF-8;,蘇先生,02-23491500轉8130,2014/01/23 13:49:34,2016/10/14 16:43:57,座標地圖:GOOGLE為主；目前因臺北市政府、新北市政府、澎湖縣政府、退輔會(農場)、內政部營建署(國家公園)及教育部體育署(教育場館)，尚在盤點資料故未納入本資料庫。
7778,活動-觀光資訊資料庫,休閒旅遊,JSON;XML,http://gis.taiwan.net.tw/XMLReleaseALL_public/activity_C_f.json;http://gis.taiwan.net.tw/XMLReleaseALL_public/activity_C_f.xml,rawData,交通部觀光局蒐集各政府機關所發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食及旅館民宿等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,listname、language、orgname、updatetime、Id、Name、Description、Particpation、Location、Add、Tel、Org、Start、End、Cycle、Noncycle、Website、Picture1、Picdescribe1、Picture2、Picdescribe2、Picture3、Picdescribe3、Px、Py、Class1、Class2、ActivityClass、Map、Travellinginfo、Parkinginfo、Charge、Remarks、RegionId,交通部觀光局,每日,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;;UTF-8;,蘇先生,02-23491500轉8130,2014/01/23 13:49:34,2016/10/14 16:58:47,座標地圖:GOOGLE為主；目前因臺北市政府、新北市政府、澎湖縣政府、退輔會(農場)、內政部營建署(國家公園)及教育部體育署(教育場館)，尚在盤點資料故未納入本資料庫。
7779,餐飲-觀光資訊資料庫,休閒旅遊,JSON;XML,http://gis.taiwan.net.tw/XMLReleaseALL_public/restaurant_C_f.json;http://gis.taiwan.net.tw/XMLReleaseALL_public/restaurant_C_f.xml,rawData,交通部觀光局蒐集各政府機關所發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食及旅館民宿等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,listname、language、orgname、updatetime、Id、Name、Description、Add、Zipcode、Tel、Opentime、Website、Picture1、Picdescribe1、Picture2、Picdescribe2、Picture3、Picdescribe3、Px、Py、Class、Map、Parkinginfo、RegionId,交通部觀光局,每日,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;;UTF-8;,蘇先生,02-23491500轉8130,2014/01/23 13:49:34,2016/10/14 17:03:20,座標地圖:GOOGLE為主；目前因臺北市政府、新北市政府、澎湖縣政府、退輔會(農場)、內政部營建署(國家公園)及教育部體育署(教育場館)，尚在盤點資料故未納入本資料庫。
